stname,year,deaths,population,division,region,stabbr,poverty_rate,unemployment_rate
Maine,2005,163,1318787,New England,Northeast,ME,12.6,4.9
Maryland,2005,656,5592379,South Atlantic,South,MD,9.7,4.1
Massachusetts,2005,780,6403290,New England,Northeast,MA,10.1,4.8
Michigan,2005,985,10051137,East North Central,Midwest,MI,12,6.8
Minnesota,2005,282,5119598,West North Central,Midwest,MN,8.1,4.1
Mississippi,2005,248,2905943,East South Central,South,MS,20.1,7.5
Missouri,2005,608,5790300,West North Central,Midwest,MO,11.6,5.4
Montana,2005,96,940102,Mountain,West,MT,13.8,4.4
Nebraska,2005,86,1761497,West North Central,Midwest,NE,9.5,3.8
Nevada,2005,457,2432143,Mountain,West,NV,10.6,4.1
New Hampshire,2005,142,1298492,New England,Northeast,NH,5.6,3.6
New Jersey,2005,823,8651974,Middle Atlantic,Northeast,NJ,6.8,4.5
New Mexico,2005,373,1932274,Mountain,West,NM,17.9,5.1
New York,2005,944,19132610,Middle Atlantic,Northeast,NY,14.5,5
North Carolina,2005,1000,8705407,South Atlantic,South,NC,13.1,5.2
North Dakota,2005,12,646089,West North Central,Midwest,ND,11.2,3.4
Ohio,2005,1243,11463320,East North Central,Midwest,OH,12.3,5.9
Oklahoma,2005,478,3548597,West South Central,South,OK,15.6,4.5
Oregon,2005,386,3613202,Pacific,West,OR,12,6.2
Pennsylvania,2005,1613,12449990,Middle Atlantic,Northeast,PA,11.2,5
Rhode Island,2005,156,1067916,New England,Northeast,RI,12.1,5
South Carolina,2005,427,4270150,South Atlantic,South,SC,15,6.7
South Dakota,2005,40,775493,West North Central,Midwest,SD,11.8,3.8
Tennessee,2005,872,5991057,East South Central,South,TN,14.9,5.6
Texas,2005,1910,22778123,West South Central,South,TX,16.2,5.4
Utah,2005,438,2457719,Mountain,West,UT,9.2,4.1
Vermont,2005,53,621215,New England,Northeast,VT,7.6,3.5
Virginia,2005,581,7577105,South Atlantic,South,VA,9.2,3.6
Washington,2005,850,6257305,Pacific,West,WA,10.2,5.6
West Virginia,2005,184,1820492,South Atlantic,South,WV,15.4,5.1
Wisconsin,2005,518,5546166,East North Central,Midwest,WI,10.2,4.7
Wyoming,2005,26,514157,Mountain,West,WY,10.6,3.6
Alabama,2006,398,4628981,East South Central,South,AL,14.3,4
Alaska,2006,76,675302,Pacific,West,AK,8.9,6.6
Arizona,2006,876,6029141,Mountain,West,AZ,14.4,4.2
Arkansas,2006,285,2821761,West South Central,South,AR,17.7,5.2
California,2006,3494,36021202,Pacific,West,CA,12.2,4.9
Colorado,2006,627,4720423,Mountain,West,CO,9.7,4.3
Connecticut,2006,407,3517460,New England,Northeast,CT,8,4.3
Delaware,2006,78,859268,South Atlantic,South,DE,9.3,3.6
District of Columbia,2006,101,570681,South Atlantic,South,DC,18.3,5.8
Florida,2006,2591,18166990,South Atlantic,South,FL,11.5,3.2
Georgia,2006,830,9155813,South Atlantic,South,GA,12.6,4.7
Hawaii,2006,86,1309731,Pacific,West,HI,9.2,2.6
Idaho,2006,130,1468669,Mountain,West,ID,9.5,3.5
Illinois,2006,1369,12643955,East North Central,Midwest,IL,10.6,4.5
Indiana,2006,736,6332669,East North Central,Midwest,IN,10.6,5
Iowa,2006,187,2982644,West North Central,Midwest,IA,10.3,3.7
Kansas,2006,257,2762931,West North Central,Midwest,KS,12.8,4.4
Kentucky,2006,728,4219239,East South Central,South,KY,16.8,5.7
Louisiana,2006,705,4302665,West South Central,South,LA,17,4.5
Maine,2006,159,1323619,New England,Northeast,ME,10.2,4.6
Maryland,2006,762,5627367,South Atlantic,South,MD,8.4,3.9
Massachusetts,2006,970,6410084,New England,Northeast,MA,12,4.9
Michigan,2006,1176,10036081,East North Central,Midwest,MI,13.3,7
Minnesota,2006,311,5163555,West North Central,Midwest,MN,8.2,4
Mississippi,2006,339,2904978,East South Central,South,MS,20.6,6.5
Missouri,2006,743,5842704,West North Central,Midwest,MO,11.4,4.8
Montana,2006,97,952692,Mountain,West,MT,13.5,3.5
Nebraska,2006,91,1772693,West North Central,Midwest,NE,10.2,3.1
Nevada,2006,461,2522658,Mountain,West,NV,9.5,4
New Hampshire,2006,149,1308389,New England,Northeast,NH,5.4,3.4
New Jersey,2006,847,8661679,Middle Atlantic,Northeast,NJ,8.8,4.7
New Mexico,2006,418,1962137,Mountain,West,NM,16.9,4.2
New York,2006,1680,19104631,Middle Atlantic,Northeast,NY,14,4.5
North Carolina,2006,1059,8917270,South Atlantic,South,NC,13.8,4.7
North Dakota,2006,14,649422,West North Central,Midwest,ND,11.4,3.2
Ohio,2006,1515,11481213,East North Central,Midwest,OH,12.1,5.4
Oklahoma,2006,563,3594090,West South Central,South,OK,15.2,4
Oregon,2006,485,3670883,Pacific,West,OR,11.8,5.3
Pennsylvania,2006,1638,12510809,Middle Atlantic,Northeast,PA,11.3,4.6
Rhode Island,2006,175,1063096,New England,Northeast,RI,10.5,4.9
South Carolina,2006,554,4357847,South Atlantic,South,SC,11.2,6.4
South Dakota,2006,37,783033,West North Central,Midwest,SD,10.7,3.1
Tennessee,2006,975,6088766,East South Central,South,TN,14.9,5.2
Texas,2006,2191,23359580,West South Central,South,TX,16.4,4.9
Utah,2006,444,2525507,Mountain,West,UT,9.3,3
Vermont,2006,75,622892,New England,Northeast,VT,7.8,3.7
Virginia,2006,629,7673725,South Atlantic,South,VA,8.6,3.1
Washington,2006,897,6370753,Pacific,West,WA,8,5
West Virginia,2006,362,1827912,South Atlantic,South,WV,15.3,4.9
Wisconsin,2006,593,5577655,East North Central,Midwest,WI,10.1,4.7
Wyoming,2006,55,522667,Mountain,West,WY,10,3.2
Alabama,2007,511,4672840,East South Central,South,AL,14.5,4
Alaska,2007,72,680300,Pacific,West,AK,7.6,6.3
Arizona,2007,943,6167681,Mountain,West,AZ,14.3,3.9
Arkansas,2007,301,2848650,West South Central,South,AR,13.8,5.3
California,2007,3854,36250311,Pacific,West,CA,12.7,5.4
